Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
78,524,672,28,541,525,125,31,468_296_291,21_7_15,25,[16_36] (1_1),25,[16_33] (1_2),5404,[4505_7500],5397,[4505_7500],126,28,[25_28] (1_129),140,19.49,21.88,532,512
79,529,1227,35,524,479,185,130,641_447_177,83_44_34,32,[12_47] (1_3),32,[19_47] (1_1),4787,[3505_8665],4770,[3505_7165],196,34,[0_40] (2_7),202,57.29,60.96,1585,1404
80,536,1807,22,536,501,275,78,644_84_89,70_18_34,20,[1_37] (1_1),20,[10_32] (1_1),4616,[2540_8800],4584,[2540_6700],159,22,[0_27] (1_22),147,70.34,72.27,1869,1397
81,521,915,30,520,483,175,323,357_366_469,62_24_26,26,[10_40] (1_1),26,[16_40] (2_1),5872,[4555_9050],5860,[4555_7860],171,30,[0_35] (1_1),246,43.17,47.21,1097,1041
82,512,717,30,526,502,50,386,573_420_205,21_16_26,22,[7_37] (1_1),22,[9_37] (2_1),4981,[3050_8180],4979,[3050_7550],168,30,[1_30] (1_186),211,26.64,29.99,605,526
83,522,1183,30,534,520,315,169,576_336_165,37_6_9,27,[13_59] (1_1),27,[13_59] (1_1),5270,[4115_8015],5268,[4115_8015],163,30,[0_40] (1_1),165,54.86,56.04,1467,1137
84,531,1882,23,517,445,255,146,644_134_236,63_45_56,21,[10_40] (1_1),21,[12_30] (3_1),4509,[3565_6555],4515,[3565_6145],141,23,[1_28] (3_4),149,72.53,76.35,1815,1578
85,523,932,30,537,509,145,172,645_414_212,65_33_16,26,[13_49] (1_1),26,[18_44] (4_1),5016,[3940_8270],5015,[3940_6520],172,30,[0_35] (1_1),181,42.38,45.39,1100,1037
86,529,605,34,541,530,25,9,556_339_151,8_4_18,26,[15_39] (1_1),26,[18_39] (4_1),7884,[4260_9560],7888,[4260_9560],124,33,[0_34] (1_63),180,10.58,12.40,279,261
87,549,1767,21,533,475,135,81,599_257_132,123_46_36,19,[7_39] (1_1),19,[11_39] (2_1),4286,[3150_6950],4263,[3150_6070],139,21,[0_26] (1_7),147,69.84,73.12,1809,1559
88,536,1478,25,613,580,120,177,595_393_201,35_21_35,22,[11_36] (1_1),22,[14_31] (2_1),4605,[3455_7620],4575,[3455_6905],133,25,[1_30] (1_1),148,58.53,60.76,990,835
89,571,3525,26,489,468,610,80,550_244_197,52_6_24,26,[11_48] (1_1),26,[11_48] (1_1),4311,[3705_6905],4301,[3705_6905],161,26,[0_36] (12_4),150,86.13,86.72,2734,2026
90,607,8883,28,451,319,640,416,427_79_146,213_86_129,28,[20_50] (4_1),28,[22_44] (2_1),5137,[4250_6735],5061,[4250_6460],219,28,[0_38] (10_1),173,94.92,96.41,6466,4294
91,444,453,15,453,452,0,2,0_1_0,2_1_0,5,[2_12] (1_1),5,[3_12] (135_1),4671,[3270_5200],4670,[3270_5060],45,,,,,0.22,17,17
92,444,525,25,465,452,50,6,279_134_59,15_9_7,21,[9_30] (1_2),21,[13_30] (1_1),4886,[3025_8060],4882,[3025_6520],94,25,[19_25] (1_59),103,11.43,13.90,284,284
93,470,1318,24,492,443,350,108,656_128_145,43_35_29,23,[11_38] (1_2),23,[17_38] (1_1),3896,[3350_6805],3874,[3350_5100],138,24,[1_29] (1_8),136,62.67,66.39,1627,1460
94,460,656,20,465,449,100,25,292_193_89,23_9_11,17,[8_25] (1_3),17,[8_25] (1_3),4764,[3605_6545],4765,[3655_6545],100,20,[15_20] (1_190),101,29.12,31.55,466,445
95,456,788,25,461,436,170,104,407_280_137,41_16_18,22,[10_42] (1_1),22,[13_33] (2_1),5276,[4055_7500],5280,[4055_6950],139,25,[2_30] (1_2),152,41.50,44.67,870,828
96,464,984,30,518,500,300,175,875_73_106,39_3_26,28,[0_46] (1_1),28,[18_46] (1_1),5100,[4240_10805],5082,[4240_6900],161,30,[10_35] (1_5),180,47.36,49.19,1216,1109
97,477,3096,17,427,349,570,234,670_155_96,85_50_54,17,[10_49] (3_1),17,[10_33] (2_1),4845,[4280_7360],4830,[4280_6250],140,17,[0_27] (2_1),119,86.21,88.73,3104,2663
98,424,518,25,436,414,30,86,424_267_135,16_21_13,21,[10_29] (1_3),21,[11_29] (1_2),4844,[3865_6965],4846,[3865_6710],137,24,[0_25] (1_78),154,15.83,20.08,406,384
99,433,748,30,501,481,125,365,634_469_208,76_16_16,26,[14_41] (1_1),26,[15_41] (1_1),6699,[5300_9400],6699,[5300_8905],167,30,[2_35] (1_2),176,33.02,35.70,914,869
100,439,873,30,434,422,250,79,673_372_0,62_9_9,28,[13_43] (1_1),28,[18_43] (1_1),6429,[5200_9255],6416,[5200_8225],180,30,[4_35] (1_1),181,50.29,51.66,1085,1006
101,455,2303,18,422,380,425,51,628_73_98,65_17_37,18,[12_35] (4_1),18,[12_35] (3_1),5108,[4550_6560],5079,[4550_6400],116,18,[3_28] (1_1),118,81.68,83.50,2117,1740
102,428,531,30,431,408,60,62,413_326_155,22_12_30,26,[16_38] (1_1),26,[17_38] (1_1),6118,[5060_8005],6103,[5060_7820],161,29,[1_30] (1_95),183,18.83,23.16,555,555
103,428,700,37,429,415,270,325,562_355_175,26_4_23,33,[21_60] (2_1),33,[21_58] (2_1),8454,[7020_10805],8456,[7020_10805],224,37,[1_52] (1_2),232,38.71,40.71,1360,1082
104,428,811,21,426,403,120,131,283_151_87,63_18_15,18,[7_33] (3_1),18,[7_33] (2_1),3445,[2000_5600],3435,[2000_5600],117,21,[12_26] (1_2),132,47.47,50.31,847,816
105,527,5741,12,432,335,660,167,361_48_64,157_81_64,12,[7_27] (4_2),12,[7_27] (3_1),5616,[4745_7300],5551,[4745_6700],115,12,[0_22] (1_2),93,92.48,94.16,4785,3491
106,431,494,10,451,444,60,0,208_124_55,10_3_5,8,[2_14] (1_1),8,[7_14] (143_1),2277,[1650_3450],2275,[1650_3080],56,10,[10_10] (43_43),59,8.70,10.12,220,220
107,429,587,25,438,413,95,266,329_238_123,29_13_23,20,[4_31] (1_3),20,[7_31] (1_2),4546,[2430_7450],4517,[2430_6900],142,25,[1_30] (1_2),162,25.38,29.64,622,604
108,427,645,25,428,395,60,24,231_148_78,38_23_29,17,[6_33] (2_1),17,[6_32] (1_1),5383,[3260_7730],5369,[3260_7550],131,25,[6_30] (2_5),170,33.64,38.76,804,701
109,441,996,27,444,394,230,39,315_227_171,23_28_55,24,[11_41] (1_1),24,[14_41] (2_1),5946,[4580_8260],5923,[4580_7710],148,27,[0_32] (2_6),168,55.42,60.44,1337,1219
110,469,1048,28,464,430,230,333,432_279_148,82_25_22,25,[13_38] (1_1),25,[16_38] (3_1),7275,[5405_9405],7281,[5405_9270],149,28,[12_33] (1_6),151,55.73,58.97,1409,1226
111,517,1179,25,520,464,100,208,369_255_164,36_7_66,22,[12_37] (1_1),22,[14_30] (2_1),5878,[4145_7845],5827,[4145_7380],143,25,[1_30] (1_4),153,55.89,60.64,1214,988
112,500,678,25,508,497,155,142,316_143_73,41_6_8,22,[14_36] (2_2),22,[14_36] (2_2),5238,[3565_7250],5248,[3565_7250],121,25,[22_30] (1_2),130,25.07,26.70,703,670
113,508,1595,20,491,436,230,113,279_186_120,51_42_62,17,[3_36] (1_2),17,[6_36] (1_2),5774,[4165_8670],5742,[4165_8670],114,20,[0_25] (1_6),119,69.22,72.66,1822,1622
114,505,3026,25,448,419,565,330,440_232_159,76_18_37,24,[15_57] (2_1),24,[15_46] (2_1),5305,[4320_7280],5271,[4320_7115],172,25,[0_35] (3_4),164,85.19,86.15,3355,2388
115,467,1975,25,436,380,275,208,280_277_223,115_47_54,24,[0_44] (1_1),24,[16_44] (3_1),4513,[3050_8625],4447,[3050_6250],156,25,[3_40] (1_1),151,77.92,80.76,2391,2002
116,465,1139,24,457,432,240,20,374_188_125,89_23_8,23,[15_47] (1_1),23,[15_47] (1_1),3968,[2805_5455],3963,[2805_5455],118,24,[0_29] (1_1),123,59.88,62.07,1367,1239
117,457,1340,13,488,437,290,13,284_95_103,55_34_37,12,[1_27] (1_1),12,[7_21] (7_1),2802,[2055_5290],2753,[2055_4100],87,13,[0_23] (2_1),80,63.58,67.39,1546,1381
118,444,820,25,445,435,280,493,411_178_162,39_2_10,23,[14_39] (2_2),23,[14_39] (2_2),7000,[5595_9650],6989,[5595_9030],160,25,[13_30] (1_4),181,45.73,46.95,1111,1035
119,441,1406,25,417,376,180,40,283_190_83,50_34_48,22,[7_46] (1_1),22,[11_46] (4_1),5863,[3765_8180],5841,[3800_8140],128,25,[0_30] (2_10),133,70.34,73.26,1565,1342
120,483,6523,16,357,274,690,229,250_43_110,220_38_81,17,[9_37] (1_2),17,[11_37] (2_2),4748,[3575_7605],4663,[3615_7405],136,16,[0_26] (6_2),119,94.53,95.80,4775,3786
121,357,361,25,360,356,0,84,71_36_21,6_0_4,9,[6_25] (2_1),9,[7_25] (108_1),5289,[2105_6095],5285,[2105_6095],68,25,[25_25] (1_1),569,0.28,1.39,62,62
122,361,837,25,358,343,325,93,388_189_93,45_15_28,23,[16_55] (1_1),23,[16_36] (1_1),4134,[3150_5600],4115,[3150_5500],173,25,[3_35] (1_1),182,57.23,59.02,1697,1454
123,366,673,23,360,326,200,264,348_210_159,40_20_38,20,[8_42] (3_1),20,[8_35] (1_1),4189,[3055_6405],4175,[3055_6405],135,23,[9_28] (1_4),139,46.51,51.56,1262,1182
124,379,1042,25,368,339,290,193,343_230_114,90_32_23,23,[13_46] (3_1),23,[13_46] (3_1),4122,[3135_6615],4114,[3135_5885],147,25,[6_30] (1_10),172,64.68,67.47,1992,1599
125,372,896,26,368,330,155,89,368_219_138,63_44_30,24,[17_41] (9_1),24,[17_41] (8_1),4757,[3895_6300],4743,[3895_6110],201,26,[0_31] (1_3),202,58.93,63.17,1279,1158
126,376,1248,30,361,312,235,116,378_291_197,80_33_33,29,[16_43] (1_1),29,[20_37] (2_1),5730,[4700_8300],5721,[4700_7245],171,30,[3_35] (1_2),174,71.07,75.00,1518,1378
127,370,1229,20,360,340,310,34,192_106_71,101_10_19,19,[10_36] (1_1),19,[10_36] (1_1),3482,[2550_5475],3445,[2550_5315],135,20,[0_25] (5_6),138,70.71,72.34,1617,1467
